,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.003171861171722412,0.74755859375,0.012159466743469238,0.237091064453125,,,,,,
sub-tree-avg,,,,,0.2642822265625,0.036224365234375,0.0015382766723632812,0.1029510498046875,0.1290435791015625,0.4659423828125
