,longsleeve,shortsleeve,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.17290496826171875,0.8270263671875,,,,,
sub-tree-avg,,,0.3188018798828125,0.457855224609375,0.004271388053894043,0.21337509155273438,0.005646347999572754
