,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training pant,skirt,short
parent-tree-avg,0.02814340591430664,0.04183769226074219,0.9100341796875,0.02000141143798828,,,,,,,
sub-tree-avg,,,0.012020111083984375,,0.014493942260742188,0.0043849945068359375,0.00027899444103240967,0.022665977478027344,0.008838176727294922,0.019154071807861328,0.918212890625
