,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training pant,skirt,short
parent-tree-avg,0.0035614967346191406,0.018402099609375,0.9649658203125,0.012980461120605469,,,,,,,
sub-tree-avg,,,0.0015859603881835938,,0.0005457401275634766,0.0011168718338012695,0.00011497735977172852,0.0014023780822753906,0.007235050201416016,0.00045922398567199707,0.9876708984375
