,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training pant,skirt,short
parent-tree-avg,0.0073528289794921875,0.037041664123535156,0.9403076171875,0.015280485153198242,,,,,,,
sub-tree-avg,,,0.000349193811416626,,1.6689300537109375e-06,0.00011442601680755615,0.00011871755123138428,0.0005061030387878418,0.02470111846923828,0.0001477748155593872,0.9739990234375
