,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,training pant,skirt,short
parent-tree-avg,0.0006240606307983398,0.00102996826171875,0.99658203125,0.0018169879913330078,,,,,,,
sub-tree-avg,,,0.0586090087890625,,0.1358795166015625,0.04303741455078125,0.001587986946105957,0.003520488739013672,0.17664718627929688,0.00018128752708435059,0.580657958984375
