,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,baseballshirt,sweatshirt
parent-tree-avg,0.138214111328125,0.4528083801269531,0.30437469482421875,0.10456705093383789,,,,,
sub-tree-avg,,,,,0.1959843635559082,0.1258544921875,0.028331711888313293,0.030983805656433105,0.618804931640625
