,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.03344106674194336,0.8277587890625,0.13093185424804688,0.007817745208740234,,
sub-tree-avg,,,,,0.05080986022949219,0.9490966796875
