,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.007030010223388672,0.9417724609375,0.011629104614257812,0.03969383239746094,,
sub-tree-avg,,,,,0.489410400390625,0.51055908203125
