,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.003920316696166992,0.987548828125,0.0029391348361968994,0.005671262741088867,,
sub-tree-avg,,,,,0.03517627716064453,0.96484375
