,dress,shirt,pant,jacket,longsleeve,shortsleeve,sweatshirt
parent-tree-avg,0.0030421018600463867,0.9722900390625,0.011753678321838379,0.012912273406982422,,,
sub-tree-avg,,,,,0.8189697265625,0.1811065673828125,0.0
