,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.1805572509765625,0.7845458984375,0.005483150482177734,0.029384613037109375,,
sub-tree-avg,,,,,0.1900787353515625,0.81005859375
