,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.001809239387512207,0.9041748046875,0.003197014331817627,0.09080791473388672,,
sub-tree-avg,,,,,0.029205322265625,0.970703125
