,dress,shirt,pant,jacket,longsleeve,shortsleeve
parent-tree-avg,0.009087324142456055,0.807952880859375,0.15755444765090942,0.025380492210388184,,
sub-tree-avg,,,,,0.0696258544921875,0.9302978515625
