,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,bermuda short,training short,skirt
parent-tree-avg,0.023560047149658203,0.007180213928222656,0.83837890625,0.13094329833984375,,,,,,,
sub-tree-avg,,,0.0013936758041381836,,9.372830390930176e-06,0.001180887222290039,9.982287883758545e-05,0.0004540681838989258,0.264801025390625,0.703277587890625,0.028750181198120117
