,dress,shirt,pant,jacket,poloshirt,t-shirt,sweatshirt
parent-tree-avg,0.0014247894287109375,0.931396484375,0.0027943700551986694,0.06449389457702637,,,
sub-tree-avg,,0.06829261779785156,,,0.14766693115234375,0.664581298828125,0.11940574645996094
