,dress,shirt,pant,jacket,poloshirt,t-shirt,sweatshirt
parent-tree-avg,0.0021535158157348633,0.9609375,0.0043388307094573975,0.03251218795776367,,,
sub-tree-avg,,0.058507680892944336,,,0.61956787109375,0.2212362289428711,0.10074196755886078
