,dress,shirt,pant,jacket,poloshirt,t-shirt,sweatshirt
parent-tree-avg,0.0032644271850585938,0.5285491943359375,0.0019088983535766602,0.4662895202636719,,,
sub-tree-avg,,0.003711700439453125,,,0.88818359375,0.0058612823486328125,0.10222691297531128
