,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,bermuda short,training short,skirt
parent-tree-avg,0.021184444427490234,0.03322887420654297,0.9359130859375,0.009686648845672607,,,,,,,
sub-tree-avg,,,0.017091751098632812,,1.558661460876465e-05,0.005345821380615234,0.0456085205078125,0.03065013885498047,0.048412322998046875,0.8521728515625,0.0006879568099975586
