,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,bermuda short,training short,skirt
parent-tree-avg,0.002913951873779297,0.009583473205566406,0.98486328125,0.002619028091430664,,,,,,,
sub-tree-avg,,,0.07907867431640625,,0.8841552734375,0.01377105712890625,0.0007158517837524414,0.009183883666992188,0.005268573760986328,0.0021275877952575684,0.0056438446044921875
