,dress,shirt,pant,jacket,poloshirt,t-shirt,sweatshirt
parent-tree-avg,0.003171861171722412,0.74755859375,0.012159466743469238,0.237091064453125,,,
sub-tree-avg,,0.06945419311523438,,,0.044292449951171875,0.32269287109375,0.5635986328125
