,dress,shirt,pant,jacket,poloshirt,t-shirt,sweatshirt
parent-tree-avg,0.052951812744140625,0.91455078125,0.005083560943603516,0.027456283569335938,,,
sub-tree-avg,,0.1076812744140625,,,0.12127685546875,0.27978515625,0.49127197265625
