,dress,shirt,pant,jacket,poloshirt,t-shirt,sweatshirt
parent-tree-avg,0.18871688842773438,0.70037841796875,0.09598541259765625,0.014892578125,,,
sub-tree-avg,,0.017169952392578125,,,0.90185546875,0.06727981567382812,0.013747215270996094
