,dress,shirt,pant,jacket,poloshirt,t-shirt,sweatshirt
parent-tree-avg,0.301849365234375,0.3750152587890625,0.15515756607055664,0.1680450439453125,,,
sub-tree-avg,,0.374755859375,,,0.01754474639892578,0.2606201171875,0.34716796875
