,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,bermuda short,training short,skirt
parent-tree-avg,0.04615974426269531,0.003545999526977539,0.9375,0.012761354446411133,,,,,,,
sub-tree-avg,,,0.049694061279296875,,0.00016163289546966553,0.036376953125,0.010286092758178711,0.013059616088867188,0.023746490478515625,0.79248046875,0.0741114616394043
