,dress,shirt,pant,jacket,poloshirt,t-shirt,sweatshirt
parent-tree-avg,0.015760421752929688,0.9134521484375,0.058629751205444336,0.012190818786621094,,,
sub-tree-avg,,0.06922149658203125,,,0.6177978515625,0.2762451171875,0.0367889404296875
