,dress,shirt,pant,jacket,poloshirt,t-shirt,sweatshirt
parent-tree-avg,0.034393310546875,0.7657470703125,0.16725540161132812,0.03265571594238281,,,
sub-tree-avg,,0.009232640266418457,,,0.960205078125,0.02517104148864746,0.0053669363260269165
