,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,bermuda short,training short,skirt
parent-tree-avg,0.018883585929870605,0.10314011573791504,0.869384765625,0.008691802620887756,,,,,,,
sub-tree-avg,,,0.012463092803955078,,4.8533082008361816e-05,0.0027372241020202637,0.0006554722785949707,0.02274179458618164,0.004760026931762695,0.9522705078125,0.0043747276067733765
