,dress,shirt,pant,jacket,poloshirt,t-shirt,sweatshirt
parent-tree-avg,0.0028548240661621094,0.7112703323364258,0.2605724334716797,0.025249361991882324,,,
sub-tree-avg,,0.029638290405273438,,,0.03839588165283203,0.08937454223632812,0.8426513671875
