,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,bermuda short,training short,skirt
parent-tree-avg,0.018202543258666992,0.03574085235595703,0.627899169921875,0.3181476593017578,,,,,,,
sub-tree-avg,,,0.03215599060058594,,0.4957275390625,0.019077301025390625,0.000926673412322998,0.003321409225463867,0.250762939453125,0.19443511962890625,0.0035671591758728027
