,dress,shirt,pant,jacket,poloshirt,t-shirt,sweatshirt
parent-tree-avg,0.014978408813476562,0.8941650390625,0.007658720016479492,0.08302116394042969,,,
sub-tree-avg,,0.18133544921875,,,0.44842529296875,0.338226318359375,0.03183460235595703
