,dress,shirt,pant,jacket,poloshirt,t-shirt,sweatshirt
parent-tree-avg,0.019290924072265625,0.9532470703125,0.007277011871337891,0.020354270935058594,,,
sub-tree-avg,,0.141082763671875,,,0.44659423828125,0.238311767578125,0.1739959716796875
