,dress,shirt,pant,jacket,poloshirt,t-shirt,sweatshirt
parent-tree-avg,0.013763427734375,0.982666015625,0.0005000382661819458,0.0031430721282958984,,,
sub-tree-avg,,0.026882171630859375,,,0.01936483383178711,0.9503173828125,0.0034772753715515137
