,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,bermuda short,training short,skirt
parent-tree-avg,0.003565549850463867,0.04811573028564453,0.935791015625,0.012459278106689453,,,,,,,
sub-tree-avg,,,0.191314697265625,,0.01456451416015625,0.293243408203125,0.004488468170166016,0.1102447509765625,0.0969696044921875,0.265716552734375,0.023446083068847656
