,dress,shirt,pant,jacket,poloshirt,t-shirt,sweatshirt
parent-tree-avg,0.03658747673034668,0.83673095703125,0.12185883522033691,0.004824161529541016,,,
sub-tree-avg,,0.126190185546875,,,0.1356964111328125,0.64239501953125,0.09582018852233887
