,dress,shirt,pant,jacket,poloshirt,t-shirt,sweatshirt
parent-tree-avg,0.050375938415527344,0.8817138671875,0.06570053100585938,0.0020439624786376953,,,
sub-tree-avg,,0.1461639404296875,,,0.06139373779296875,0.6783447265625,0.1140594482421875
