,dress,shirt,pant,jacket,poloshirt,t-shirt,sweatshirt
parent-tree-avg,0.004622459411621094,0.98046875,0.013423606753349304,0.0015641748905181885,,,
sub-tree-avg,,0.06760406494140625,,,0.11525726318359375,0.8123779296875,0.004739999771118164
