,dress,shirt,pant,jacket,poloshirt,t-shirt,sweatshirt
parent-tree-avg,0.1627659797668457,0.53741455078125,0.07229554653167725,0.22756177186965942,,,
sub-tree-avg,,0.361419677734375,,,0.2267303466796875,0.1712188720703125,0.24061718583106995
