,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,bermuda short,training short,skirt
parent-tree-avg,0.002078413963317871,0.0013217926025390625,0.984375,0.012225627899169922,,,,,,,
sub-tree-avg,,,0.10931396484375,,0.016876220703125,0.28759765625,0.0033473968505859375,0.085113525390625,0.30975341796875,0.1806793212890625,0.007343769073486328
