,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.050375938415527344,0.8817138671875,0.06570053100585938,0.0020439624786376953,,,,,,
sub-tree-avg,,,,,0.283050537109375,0.0259246826171875,0.00897216796875,0.5701904296875,0.06542205810546875,0.04645538330078125
