,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.0014247894287109375,0.931396484375,0.0027943700551986694,0.06449389457702637,,,,,,
sub-tree-avg,,,,,0.613189697265625,0.1358489990234375,0.011544227600097656,0.0791015625,0.051227569580078125,0.1091156005859375
