,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.06468009948730469,0.60906982421875,0.05442190170288086,0.2718048095703125,,,,,,
sub-tree-avg,,,,,0.23590087890625,0.33563232421875,0.018278121948242188,0.1482391357421875,0.0552978515625,0.206634521484375
