,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.014978408813476562,0.8941650390625,0.007658720016479492,0.08302116394042969,,,,,,
sub-tree-avg,,,,,0.22641754150390625,0.253692626953125,0.127471923828125,0.3536376953125,0.016290664672851562,0.022452354431152344
