,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,bermuda short,training short,skirt
parent-tree-avg,0.003866225481033325,0.038698673248291016,0.9473876953125,0.010106444358825684,,,,,,,
sub-tree-avg,,,0.004235178232192993,,3.4943222999572754e-05,0.0014870762825012207,0.0031714588403701782,0.002093285322189331,0.06664276123046875,0.92236328125,0.00010047852993011475
