,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,bermuda short,training short,skirt
parent-tree-avg,0.006266474723815918,0.03651690483093262,0.84423828125,0.11285829544067383,,,,,,,
sub-tree-avg,,,0.12612152099609375,,0.000746995210647583,0.00882577896118164,0.032591819763183594,0.038781166076660156,0.09749984741210938,0.69110107421875,0.004305601119995117
