,dress,shirt,pant,jacket,jeans,trouser,sweatpant,hot pant,bermuda short,training short,skirt
parent-tree-avg,0.06653189659118652,0.24126672744750977,0.67547607421875,0.016816377639770508,,,,,,,
sub-tree-avg,,,0.177825927734375,,0.123291015625,0.174591064453125,0.04891395568847656,0.0680999755859375,0.033931732177734375,0.3388519287109375,0.034363746643066406
