,dress,shirt,pant,jacket,t-shirt,poloshirt,henleyshirt,chambrayshirt,baseballshirt,sweatshirt
parent-tree-avg,0.1627659797668457,0.53741455078125,0.07229554653167725,0.22756177186965942,,,,,,
sub-tree-avg,,,,,0.06977272033691406,0.06422042846679688,0.36676025390625,0.2924041748046875,0.003748655319213867,0.20320843160152435
